symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance
B-TIA_USDT,1789556007401,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,12775,19,129440,109796,0.5410556939591031
B-TIA_USDT,1789556008620,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,12931,19,129613,109814,0.5413466317499697
B-TIA_USDT,1789556009831,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,13083,19,129765,105868,0.5507080926695327
B-TIA_USDT,1789556011042,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2127,5012,94197,143049,0.39704357502339344
B-TIA_USDT,1789556012246,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2025,8095,92210,141134,0.39516764947888094
B-TIA_USDT,1789556013456,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2423,1290,100352,134059,0.428102776746825
B-TIA_USDT,1789556014655,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,4423,1167,103336,133936,0.43551704373040223
B-TIA_USDT,1789556015837,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,4889,1124,103570,133893,0.4361521584415256
B-TIA_USDT,1789556017054,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,4575,2164,102591,134987,0.43182028639015396
B-TIA_USDT,1789556018277,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,4704,2164,102720,134987,0.4321286289423534
B-TIA_USDT,1789556019752,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2341,2149,93509,135002,0.4092100599095886
B-TIA_USDT,1789556020947,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2141,2297,99135,135120,0.4231926746494205
B-TIA_USDT,1789556022150,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2141,2297,99135,135120,0.4231926746494205
B-TIA_USDT,1789556023343,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2213,2097,99207,134920,0.42373156449277527
B-TIA_USDT,1789556024534,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2213,2097,99207,134920,0.42373156449277527
B-TIA_USDT,1789556025709,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2213,2097,99207,134920,0.42373156449277527
B-TIA_USDT,1789556026880,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,2195,2359,99189,133385,0.42648361381753763
B-TIA_USDT,1789556028100,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1609,2359,91553,133591,0.40664197136055147
B-TIA_USDT,1789556029286,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1609,2761,89472,133993,0.40038484773901956
B-TIA_USDT,1789556030475,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1609,2761,89472,133993,0.40038484773901956
B-TIA_USDT,1789556031660,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1609,2761,89472,133993,0.40038484773901956
B-TIA_USDT,1789556032849,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1609,2744,96086,133976,0.417652632768558
B-TIA_USDT,1789556034044,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1411,2769,89274,134001,0.3998387638562311
B-TIA_USDT,1789556035242,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1039,4317,88902,135549,0.3960864509402943
B-TIA_USDT,1789556036438,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,1039,6317,88918,137549,0.3926311559741596
B-TIA_USDT,1789556037640,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,994,6317,88873,137549,0.3925104450980912
B-TIA_USDT,1789556038823,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,784,11908,80911,140234,0.3658730697053969
B-TIA_USDT,1789556040050,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,784,11908,80911,140234,0.3658730697053969
B-TIA_USDT,1789556041663,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,784,11951,80911,140277,0.36580194223918117
B-TIA_USDT,1789556042868,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,784,11894,80911,142177,0.36268647349924693
B-TIA_USDT,1789556044068,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,904,9884,81231,140187,0.3668671923691841
B-TIA_USDT,1789556045313,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,904,9884,81231,140187,0.3668671923691841
B-TIA_USDT,1789556046507,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,548,9884,80875,140187,0.3658475902687934
B-TIA_USDT,1789556047697,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,548,9884,80875,140187,0.3658475902687934
B-TIA_USDT,1789556048903,0.3277,0.3278,0.32775,0.00009999999999998899,0.00030515715593527307,548,9884,80875,140187,0.3658475902687934
B-TIA_USDT,1789556050102,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,6080,5243,127277,114409,0.5266213185703764
B-TIA_USDT,1789556051296,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,6080,1830,127280,110996,0.534170457788447
B-TIA_USDT,1789556052497,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,6080,1830,127280,110996,0.534170457788447
B-TIA_USDT,1789556053926,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3772,2009,118904,111175,0.5167964047131638
B-TIA_USDT,1789556055270,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3772,2009,118904,111175,0.5167964047131638
B-TIA_USDT,1789556056484,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3789,1828,125556,114046,0.5240189981719685
B-TIA_USDT,1789556057663,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3789,1828,125556,114046,0.5240189981719685
B-TIA_USDT,1789556058854,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3747,1828,125514,114046,0.5239355485055935
B-TIA_USDT,1789556060032,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,1127,5117,114519,116311,0.4961183554997184
B-TIA_USDT,1789556061213,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,1624,4136,115016,115330,0.49931841664278953
B-TIA_USDT,1789556062402,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3607,1609,123399,112803,0.5224299540224046
B-TIA_USDT,1789556063590,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3607,1609,123399,112803,0.5224299540224046
B-TIA_USDT,1789556064775,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3219,1609,123011,112803,0.5216441771904976
B-TIA_USDT,1789556065944,0.3276,0.3277,0.32765,0.00009999999999998899,0.00030525030525027164,3010,1809,116402,113003,0.5074082953728123
