candidate,TP,SL,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
B,0.2,0.15,1789737508175,LONG,105.86,1789737847788,105.88,OPEN_AT_SESSION_END,339613,0.0028,0.0296,-0.0268
B,0.2,0.15,1789737515255,LONG,105.89,1789737847788,105.88,OPEN_AT_SESSION_END,332533,-0.0014,0.0296,-0.0310
B,0.2,0.15,1789737525846,LONG,105.89,1789737847788,105.88,OPEN_AT_SESSION_END,321942,-0.0014,0.0296,-0.0310
B,0.2,0.15,1789737551653,LONG,105.88,1789737847788,105.88,OPEN_AT_SESSION_END,296135,0.0000,0.0296,-0.0296
B,0.2,0.15,1789737555709,LONG,105.88,1789737847788,105.88,OPEN_AT_SESSION_END,292079,0.0000,0.0296,-0.0296
B,0.2,0.15,1789737560759,SHORT,105.9,1789737847788,105.89,OPEN_AT_SESSION_END,287029,0.0014,0.0297,-0.0283
B,0.2,0.15,1789737574970,LONG,105.91,1789737847788,105.88,OPEN_AT_SESSION_END,272818,-0.0042,0.0297,-0.0339
B,0.2,0.15,1789737578521,LONG,105.93,1789737847788,105.88,OPEN_AT_SESSION_END,269267,-0.0070,0.0297,-0.0367
B,0.2,0.15,1789737581552,LONG,105.93,1789737847788,105.88,OPEN_AT_SESSION_END,266236,-0.0070,0.0297,-0.0367
B,0.2,0.15,1789737586105,LONG,105.93,1789737847788,105.88,OPEN_AT_SESSION_END,261683,-0.0070,0.0297,-0.0367
B,0.2,0.15,1789737612396,SHORT,105.89,1789737847788,105.89,OPEN_AT_SESSION_END,235392,0.0000,0.0296,-0.0296
B,0.2,0.15,1789737617428,LONG,105.9,1789737847788,105.88,OPEN_AT_SESSION_END,230360,-0.0028,0.0296,-0.0324
B,0.2,0.15,1789737623007,LONG,105.92,1789737847788,105.88,OPEN_AT_SESSION_END,224781,-0.0056,0.0297,-0.0353
B,0.2,0.15,1789737624517,SHORT,105.91,1789737847788,105.89,OPEN_AT_SESSION_END,223271,0.0028,0.0297,-0.0269
B,0.2,0.15,1789737627049,SHORT,105.91,1789737847788,105.89,OPEN_AT_SESSION_END,220739,0.0028,0.0297,-0.0269
B,0.2,0.15,1789737638684,LONG,105.9,1789737847788,105.88,OPEN_AT_SESSION_END,209104,-0.0028,0.0296,-0.0324
B,0.2,0.15,1789737641748,LONG,105.91,1789737847788,105.88,OPEN_AT_SESSION_END,206040,-0.0042,0.0297,-0.0339
B,0.2,0.15,1789737649824,LONG,105.92,1789737847788,105.88,OPEN_AT_SESSION_END,197964,-0.0056,0.0297,-0.0353
B,0.2,0.15,1789737659932,LONG,105.92,1789737847788,105.88,OPEN_AT_SESSION_END,187856,-0.0056,0.0297,-0.0353
B,0.2,0.15,1789737662963,LONG,105.95,1789737847788,105.88,OPEN_AT_SESSION_END,184825,-0.0098,0.0297,-0.0395
B,0.2,0.15,1789737676642,LONG,105.96,1789737847788,105.88,OPEN_AT_SESSION_END,171146,-0.0112,0.0297,-0.0409
B,0.2,0.15,1789737691313,LONG,105.98,1789737847788,105.88,OPEN_AT_SESSION_END,156475,-0.0140,0.0297,-0.0437
B,0.2,0.15,1789737701461,SHORT,105.97,1789737847788,105.89,OPEN_AT_SESSION_END,146327,0.0112,0.0297,-0.0185
B,0.2,0.15,1789737710057,SHORT,105.95,1789737847788,105.89,OPEN_AT_SESSION_END,137731,0.0084,0.0297,-0.0213
B,0.2,0.15,1789737716609,LONG,105.98,1789737847788,105.88,OPEN_AT_SESSION_END,131179,-0.0140,0.0297,-0.0437
B,0.2,0.15,1789737721166,SHORT,105.96,1789737847788,105.89,OPEN_AT_SESSION_END,126622,0.0098,0.0297,-0.0199
B,0.2,0.15,1789737740849,SHORT,105.98,1789737847788,105.89,OPEN_AT_SESSION_END,106939,0.0126,0.0297,-0.0171
B,0.2,0.15,1789737750997,LONG,105.98,1789737847788,105.88,OPEN_AT_SESSION_END,96791,-0.0140,0.0297,-0.0437
B,0.2,0.15,1789737776885,LONG,106.02,1789737818471,105.86,SL,41586,-0.0224,0.0297,-0.0521
B,0.2,0.15,1789737778409,LONG,106.03,1789737817971,105.87,SL,39562,-0.0224,0.0297,-0.0521
B,0.2,0.15,1789737801874,LONG,105.91,1789737847788,105.88,OPEN_AT_SESSION_END,45914,-0.0042,0.0297,-0.0339
B,0.2,0.15,1789737803806,SHORT,105.91,1789737847788,105.89,OPEN_AT_SESSION_END,43982,0.0028,0.0297,-0.0269
B,0.2,0.15,1789737818471,SHORT,105.86,1789737847788,105.89,OPEN_AT_SESSION_END,29317,-0.0042,0.0296,-0.0338
B,0.2,0.15,1789737822000,LONG,105.87,1789737847788,105.88,OPEN_AT_SESSION_END,25788,0.0014,0.0296,-0.0282
B,0.2,0.15,1789737832119,LONG,105.89,1789737847788,105.88,OPEN_AT_SESSION_END,15669,-0.0014,0.0296,-0.0310
B,0.2,0.15,1789737839202,LONG,105.91,1789737847788,105.88,OPEN_AT_SESSION_END,8586,-0.0042,0.0297,-0.0339
B,0.2,0.15,1789737844246,LONG,105.92,1789737847788,105.88,OPEN_AT_SESSION_END,3542,-0.0056,0.0297,-0.0353
B,0.2,0.15,1789737846271,SHORT,105.9,1789737847788,105.89,OPEN_AT_SESSION_END,1517,0.0014,0.0297,-0.0283
