snapshot_number,timestamp_utc,best_bid,best_ask,mid_price,bid_qty,ask_qty,imbalance,inverse_imbalance,micro_price,micro_edge_pct,spread,spread_pct,mid_return_1s_pct,mid_return_2s_pct,mid_return_3s_pct,mid_return_30s_pct,mid_return_1m_pct,mid_return_3m_pct,mid_return_5m_pct,price_change_from_start_pct,market_state,A_long_score_pct,A_short_score_pct,A_position,A_realized_pnl_inr,B_long_score_pct,B_short_score_pct,B_position,B_realized_pnl_inr,C_long_score_pct,C_short_score_pct,C_position,C_realized_pnl_inr,D_long_score_pct,D_short_score_pct,D_position,D_realized_pnl_inr
48,2026-09-18T11:55:05.545Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
49,2026-09-18T11:55:35.556Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
50,2026-09-18T11:56:05.570Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
51,2026-09-18T11:56:35.581Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
52,2026-09-18T11:57:05.595Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
53,2026-09-18T11:57:35.610Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
54,2026-09-18T11:58:05.617Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
55,2026-09-18T11:58:35.625Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
56,2026-09-18T11:59:05.627Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
57,2026-09-18T11:59:35.632Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
58,2026-09-18T12:00:05.646Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
59,2026-09-18T12:00:35.647Z,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,DISCONNECTED,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0,50,50,NONE,0
