candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.3,0.3,0.0005,165,36,129,36,18,18,18,18,0,0,0.5,571545.5277777778,569257,688259,-0.00980000000000699,0.5331332999999999,-0.542933300000007,3.488372093023256,2.945438793023249,0.5429333000000067,144
A,0.3,0.5,0.001,165,165,0,52,102,63,52,0,0,113,1,456470.8846153846,425069,688259,2.3562000000000003,1.5401554000000004,0.8160445999999999,3.488372093023256,4.304416693023259,0,208
A,0.3,0.5,0.00075,165,165,0,52,102,63,52,0,0,113,1,456470.8846153846,425069,688259,2.3562000000000003,1.15511655,1.2010834500000003,3.488372093023256,4.689455543023255,0,208
A,0.3,0.5,0.0005,165,165,0,52,102,63,52,0,0,113,1,456470.8846153846,425069,688259,2.3562000000000003,0.7700777000000002,1.5861223,3.488372093023256,5.0744943930232544,0,208
A,0.5,0.1,0.001,165,22,143,11,11,11,0,11,0,11,0,380112.2727272727,366415,436914,-0.2071999999999986,0.32550280000000004,-0.5327027999999987,3.488372093023256,2.9556692930232575,0.5327027999999983,44
A,0.5,0.1,0.00075,165,26,139,14,12,14,0,14,0,12,0,363726.5714285714,365392,436914,-0.2673999999999976,0.31070445000000013,-0.5781044499999977,3.488372093023256,2.9102676430232597,0.5781044499999961,56
A,0.5,0.1,0.0005,165,34,131,16,18,16,0,16,0,18,0,354315.25,353725,436914,-0.29819999999999547,0.23673090000000002,-0.5349308999999955,3.488372093023256,2.953441193023259,0.5349308999999969,64
A,0.5,0.15,0.001,165,22,143,11,11,11,0,11,0,11,0,384622.8181818182,369313,442326,-0.24779999999999947,0.3255434,-0.5733433999999995,3.488372093023256,2.915028693023256,0.5733433999999997,44
A,0.5,0.15,0.00075,165,24,141,12,12,12,0,12,0,12,0,379928.1666666667,369313,442326,-0.270199999999999,0.26635455,-0.5365545499999991,3.488372093023256,2.9518175430232567,0.5365545499999991,48
A,0.5,0.15,0.0005,165,33,132,15,18,15,0,15,0,18,0,364166.2,359137,442326,-0.3373999999999976,0.2219637,-0.5593636999999976,3.488372093023256,2.9290083930232576,0.5593636999999982,60
A,0.5,0.2,0.001,165,20,145,9,11,9,0,9,0,11,0,499376.22222222225,481280,546259,-0.29399999999999726,0.2664424,-0.5604423999999972,3.488372093023256,2.9279296930232577,0.5604423999999981,36
A,0.5,0.2,0.00075,165,21,144,10,11,10,0,10,0,11,0,493467.1,481280,546259,-0.3261999999999978,0.22203825000000005,-0.5482382499999978,3.488372093023256,2.940133843023258,0.5482382499999976,40
A,0.5,0.2,0.0005,165,24,141,12,12,12,0,12,0,12,0,483807.8333333333,475278,546259,-0.39059999999999695,0.1776299,-0.568229899999997,3.488372093023256,2.9201421930232576,0.5682298999999982,48
A,0.5,0.25,0.001,165,16,149,8,8,8,0,8,0,8,0,522783.25,544128,566959,-0.3037999999999983,0.23687580000000003,-0.5406757999999983,3.488372093023256,2.9476962930232586,0.5406757999999972,32
A,0.5,0.25,0.00075,165,20,145,9,11,9,0,9,0,11,0,518052.1111111111,496460,566959,-0.34159999999999974,0.19986750000000003,-0.5414674999999998,3.488372093023256,2.9469045930232554,0.5414675000000004,36
A,0.5,0.25,0.0005,165,22,143,11,11,11,0,11,0,11,0,508731.0909090909,490390,566959,-0.41860000000000136,0.1628571,-0.5814571000000014,3.488372093023256,2.9069149930232547,0.5814571000000011,44
A,0.5,0.3,0.001,165,16,149,8,8,8,0,8,0,8,0,606963.75,636737,659568,-0.3668000000000007,0.2369388,-0.6037388000000007,3.488372093023256,2.884633293023256,0.6037387999999999,32
