candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt
A,1,0.1,165,62,103,0,62,0,193753,-1.1255999999999975,1.8362568000000006,-2.961856799999998
A,1,0.12,165,60,105,0,60,0,203067.43333333332,-1.1647999999999943,1.7769471999999997,-2.941747199999994
A,1,0.15,165,49,116,0,49,0,231117.22448979592,-1.1129999999999949,1.4507681999999997,-2.563768199999995
A,1,0.2,165,40,125,0,40,0,347006.425,-1.2809999999999957,1.1841885999999995,-2.465188599999995
A,1,0.25,165,40,125,0,40,0,371071,-1.5232000000000063,1.1844308000000001,-2.7076308000000067
A,1,0.3,165,39,126,0,39,0,451728.71794871794,-1.7738000000000111,1.1550658000000003,-2.928865800000011
A,1,0.5,165,0,165,0,0,0,0,0,0,0
A,1,0.75,165,0,165,0,0,0,0,0,0,0
A,1,1,165,0,165,0,0,0,0,0,0,0
A,1,1.5,165,0,165,0,0,0,0,0,0,0
A,1.5,0.08,165,67,98,0,67,0,184190.46268656716,-1.034600000000003,1.9844538,-3.019053800000003
A,1.5,0.1,165,62,103,0,62,0,193753,-1.1255999999999975,1.8362568000000006,-2.961856799999998
A,1.5,0.12,165,60,105,0,60,0,203067.43333333332,-1.1647999999999943,1.7769471999999997,-2.941747199999994
A,1.5,0.15,165,49,116,0,49,0,231117.22448979592,-1.1129999999999949,1.4507681999999997,-2.563768199999995
A,1.5,0.2,165,40,125,0,40,0,347006.425,-1.2809999999999957,1.1841885999999995,-2.465188599999995
A,1.5,0.25,165,40,125,0,40,0,371071,-1.5232000000000063,1.1844308000000001,-2.7076308000000067
A,1.5,0.3,165,39,126,0,39,0,451728.71794871794,-1.7738000000000111,1.1550658000000003,-2.928865800000011
A,1.5,0.5,165,0,165,0,0,0,0,0,0,0
A,1.5,0.75,165,0,165,0,0,0,0,0,0,0
A,1.5,1,165,0,165,0,0,0,0,0,0,0
A,1.5,1.5,165,0,165,0,0,0,0,0,0,0
B,0.1,0.08,96,88,8,56,32,0.6363636363636364,167771.06818181818,0.44939999999998304,2.6065382,-2.157138200000017
B,0.1,0.1,96,84,12,56,28,0.6666666666666666,170103,0.4395999999999921,2.4879568,-2.048356800000008
B,0.1,0.12,96,82,14,56,26,0.6829268292682927,173135.03658536586,0.4367999999999846,2.428663999999999,-1.9918640000000145
B,0.1,0.15,96,75,21,56,19,0.7466666666666667,181173.81333333332,0.505399999999994,2.2210565999999994,-1.7156566000000053
B,0.1,0.2,96,71,25,56,15,0.7887323943661971,203425.64788732395,0.4591999999999901,2.1025479999999996,-1.6433480000000096
B,0.1,0.25,96,71,25,56,15,0.7887323943661971,208312.78873239437,0.3597999999999871,2.1026473999999995,-1.7428474000000125
B,0.1,0.3,96,71,25,56,15,0.7887323943661971,224494.54929577466,0.25619999999998183,2.1027509999999996,-1.8465510000000178
B,0.1,0.5,96,56,40,56,0,1,169311.89285714287,0.935199999999988,1.6584987999999996,-0.7232988000000116
