candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,tradesPerHour,grossPnlUsdt,feesUsdt,netPnlUsdt
D,0.75,0.15,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.2,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.25,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.3,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.5,1,0,1,0,0,0,0,0,0,0,0
D,0.75,0.75,1,0,1,0,0,0,0,0,0,0,0
D,0.75,1,1,0,1,0,0,0,0,0,0,0,0
D,0.75,1.5,1,0,1,0,0,0,0,0,0,0,0
D,1,0.08,1,0,1,0,0,0,0,0,0,0,0
D,1,0.1,1,0,1,0,0,0,0,0,0,0,0
D,1,0.12,1,0,1,0,0,0,0,0,0,0,0
D,1,0.15,1,0,1,0,0,0,0,0,0,0,0
D,1,0.2,1,0,1,0,0,0,0,0,0,0,0
D,1,0.25,1,0,1,0,0,0,0,0,0,0,0
D,1,0.3,1,0,1,0,0,0,0,0,0,0,0
D,1,0.5,1,0,1,0,0,0,0,0,0,0,0
D,1,0.75,1,0,1,0,0,0,0,0,0,0,0
D,1,1,1,0,1,0,0,0,0,0,0,0,0
D,1,1.5,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.08,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.1,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.12,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.15,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.2,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.25,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.3,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.5,1,0,1,0,0,0,0,0,0,0,0
D,1.5,0.75,1,0,1,0,0,0,0,0,0,0,0
D,1.5,1,1,0,1,0,0,0,0,0,0,0,0
D,1.5,1.5,1,0,1,0,0,0,0,0,0,0,0
