candidate,TP,SL,fee_pct,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
D,0.25,0.2,0.001,1789737269519,LONG,105.65,1789737578521,105.92,TP,309002,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737280709,SHORT,105.64,1789737494555,105.86,SL,213846,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737289864,LONG,105.63,1789737558228,105.9,TP,268364,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737299008,SHORT,105.61,1789737494073,105.83,SL,195065,-0.0308,0.0296,-0.0604
D,0.25,0.2,0.001,1789737308613,LONG,105.61,1789737515255,105.88,TP,206642,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737318204,LONG,105.62,1789737527858,105.89,TP,209654,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737332922,LONG,105.61,1789737515255,105.88,TP,182333,0.0378,0.0296,0.0082
D,0.25,0.2,0.001,1789737341003,SHORT,105.6,1789737494073,105.83,SL,153070,-0.0322,0.0296,-0.0618
D,0.25,0.25,0.001,1789736948296,SHORT,105.62,1789737515255,105.89,SL,566959,-0.0378,0.0296,-0.0674
D,0.25,0.25,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737004165,SHORT,105.59,1789737494555,105.86,SL,490390,-0.0378,0.0296,-0.0674
D,0.25,0.25,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737018795,SHORT,105.61,1789737515255,105.89,SL,496460,-0.0392,0.0296,-0.0688
D,0.25,0.25,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737062867,SHORT,105.62,1789737515255,105.89,SL,452388,-0.0378,0.0296,-0.0674
D,0.25,0.25,0.001,1789737071973,SHORT,105.61,1789737515255,105.89,SL,443282,-0.0392,0.0296,-0.0688
D,0.25,0.25,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737107395,SHORT,105.62,1789737515255,105.89,SL,407860,-0.0378,0.0296,-0.0674
D,0.25,0.25,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.25,0.001,1789737195007,SHORT,105.58,1789737494555,105.86,SL,299548,-0.0392,0.0296,-0.0688
D,0.25,0.25,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.25,0.001,1789737206609,SHORT,105.62,1789737515255,105.89,SL,308646,-0.0378,0.0296,-0.0674
D,0.25,0.25,0.001,1789737208112,SHORT,105.61,1789737515255,105.89,SL,307143,-0.0392,0.0296,-0.0688
D,0.25,0.25,0.001,1789737209644,SHORT,105.61,1789737515255,105.89,SL,305611,-0.0392,0.0296,-0.0688
D,0.25,0.3,0.001,1789736948296,SHORT,105.62,1789737607864,105.95,SL,659568,-0.0462,0.0296,-0.0758
D,0.25,0.3,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737004165,SHORT,105.59,1789737558228,105.91,SL,554063,-0.0448,0.0296,-0.0744
D,0.25,0.3,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737018795,SHORT,105.61,1789737578521,105.93,SL,559726,-0.0448,0.0296,-0.0744
D,0.25,0.3,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737062867,SHORT,105.62,1789737607864,105.95,SL,544997,-0.0462,0.0296,-0.0758
D,0.25,0.3,0.001,1789737071973,SHORT,105.61,1789737578521,105.93,SL,506548,-0.0448,0.0296,-0.0744
D,0.25,0.3,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737107395,SHORT,105.62,1789737607864,105.95,SL,500469,-0.0462,0.0296,-0.0758
D,0.25,0.3,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.3,0.001,1789737195007,SHORT,105.58,1789737527858,105.9,SL,332851,-0.0448,0.0296,-0.0744
D,0.25,0.3,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.3,0.001,1789737206609,SHORT,105.62,1789737607864,105.95,SL,401255,-0.0462,0.0296,-0.0758
D,0.25,0.3,0.001,1789737208112,SHORT,105.61,1789737578521,105.93,SL,370409,-0.0448,0.0296,-0.0744
D,0.25,0.5,0.001,1789736988436,LONG,105.64,1789737578521,105.92,TP,590085,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737002128,LONG,105.61,1789737515255,105.88,TP,513127,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737008174,LONG,105.61,1789737515255,105.88,TP,507081,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737030479,LONG,105.62,1789737527858,105.89,TP,497379,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737032494,LONG,105.64,1789737578521,105.92,TP,546027,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737034008,LONG,105.64,1789737578521,105.92,TP,544513,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737057793,LONG,105.62,1789737527858,105.89,TP,470065,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737059319,LONG,105.63,1789737558228,105.9,TP,498909,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737076027,LONG,105.6,1789737515255,105.88,TP,439228,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737126637,LONG,105.61,1789737515255,105.88,TP,388618,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737169664,LONG,105.61,1789737515255,105.88,TP,345591,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737173194,LONG,105.59,1789737495061,105.86,TP,321867,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737184910,LONG,105.6,1789737515255,105.88,TP,330345,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737187440,LONG,105.59,1789737495061,105.86,TP,307621,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737193502,LONG,105.6,1789737515255,105.88,TP,321753,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737199279,LONG,105.61,1789737515255,105.88,TP,315976,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737219262,LONG,105.61,1789737515255,105.88,TP,295993,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737244623,LONG,105.64,1789737578521,105.92,TP,333898,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737246635,LONG,105.64,1789737578521,105.92,TP,331886,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737247659,LONG,105.64,1789737578521,105.92,TP,330862,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737261415,LONG,105.63,1789737558228,105.9,TP,296813,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737265459,LONG,105.63,1789737558228,105.9,TP,292769,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737267498,LONG,105.64,1789737578521,105.92,TP,311023,0.0392,0.0296,0.0096
D,0.25,0.5,0.001,1789737269519,LONG,105.65,1789737578521,105.92,TP,309002,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737289864,LONG,105.63,1789737558228,105.9,TP,268364,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737308613,LONG,105.61,1789737515255,105.88,TP,206642,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737318204,LONG,105.62,1789737527858,105.89,TP,209654,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737332922,LONG,105.61,1789737515255,105.88,TP,182333,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737345587,LONG,105.61,1789737515255,105.88,TP,169668,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737360307,LONG,105.63,1789737558228,105.9,TP,197921,0.0378,0.0296,0.0082
D,0.25,0.5,0.001,1789737367913,LONG,105.64,1789737578521,105.92,TP,210608,0.0392,0.0296,0.0096
