symbol,event,window,observations,mean_ret,median_ret,pos_pct,neg_pct,mfe,mae,baseline,diff,tp_hit,sl_hit,ambiguous,category
B-STX_USDT,B_BEAR_T1_0.55-0.65,30000,51,0.000056558526174173964,0,0.3333333333333333,0.3333333333333333,0.0005150471243458145,0.000458347230087591,-0.00009514215722912275,0.0001517006834032967,7,5,0,B) WEAK
B-STX_USDT,B_BEAR_T1_0.55-0.65,60000,51,-0.00010099566516218436,-0.0004199034222129613,0.27450980392156865,0.5098039215686274,0.0007207468177147891,0.0007475132145208487,-0.00011353774715775917,0.000012542081995574816,15,12,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.55-0.65,180000,50,-0.000022955138753069977,0,0.46,0.4,0.0010421574009125121,0.0011603738099739685,-0.00017396131136156908,0.0001510061726084991,22,17,0,B) WEAK
B-STX_USDT,D_SELL_SURGE,5000,19,0.000221179296433187,0,0.42105263157894735,0.05263157894736842,0.0004539398800729618,0.0002105578504833318,-0.000025039275973239875,0.00024621857240642687,2,0,0,B) WEAK
B-STX_USDT,D_SELL_SURGE,10000,19,0.00024354921071373316,0,0.42105263157894735,0.05263157894736842,0.0005425828338379717,0.000232760583639781,-0.000038960121534131405,0.00028250933224786454,2,0,0,B) WEAK
B-STX_USDT,D_SELL_SURGE,30000,19,0.00017644739895353564,0,0.42105263157894735,0.21052631578947367,0.0005868576838290369,0.00034378367492726497,-0.00009514215722912275,0.0002715895561826584,3,2,0,B) WEAK
B-STX_USDT,D_SELL_SURGE,60000,19,0.00013157586473301578,0,0.47368421052631576,0.2631578947368421,0.0007859835016911442,0.0004769909322672354,-0.00011353774715775917,0.00024511361189077496,6,3,0,B) WEAK
B-STX_USDT,D_SELL_SURGE,180000,19,0.0002639433486403294,0.0004209640075773058,0.5263157894736842,0.3684210526315789,0.0013171250631430315,0.0009432304699128509,-0.00017396131136156908,0.00043790466000189843,11,7,0,B) WEAK
B-STX_USDT,A_BULL_T1_0.55-0.65,5000,41,0.00007168244832975216,0,0.21951219512195122,0.0975609756097561,0.00027182222002950326,0.0002206575809172941,0.000025039275973239875,0.00004664317235651228,2,0,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.55-0.65,10000,41,0.00009230365428430687,0,0.24390243902439024,0.0975609756097561,0.00035391873029216533,0.0002514685171344588,0.000038960121534131405,0.000053343532750175464,2,0,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.55-0.65,30000,40,0.00016804756166141445,0,0.35,0.25,0.0006718962899644967,0.0003745698846017347,0.00009514215722912275,0.0000729054044322917,9,3,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.55-0.65,60000,40,0.00033656199462918547,0.0004213187276173962,0.55,0.375,0.001010416418928404,0.0005591593374198055,0.00011353774715775917,0.0002230242474714263,15,7,0,B) WEAK
B-STX_USDT,A_BULL_T1_0.55-0.65,180000,38,0.0004984086279146349,0,0.39473684210526316,0.3157894736842105,0.0016872007231017437,0.0008769208378445377,0.00017396131136156908,0.00032444731655306583,24,15,0,B) WEAK
B-STX_USDT,B_BEAR_T1_0.65-0.75,5000,64,-0.00006237337547102651,0,0.078125,0.15625,0.00024001033852585757,0.00027942343061486863,-0.000025039275973239875,-0.000037334099497786636,0,3,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.65-0.75,10000,64,-0.00003607808319900009,0,0.203125,0.1875,0.00028605340028678054,0.00035170263029767686,-0.000038960121534131405,0.0000028820383351313176,1,6,0,C) NO OBSERVED EDGE
B-STX_USDT,B_BEAR_T1_0.65-0.75,30000,63,0.000039899344457811096,0,0.38095238095238093,0.30158730158730157,0.0005816114485623641,0.0005554392136078394,-0.00009514215722912275,0.00013504150168693385,13,14,0,B) WEAK
B-STX_USDT,B_BEAR_T1_0.65-0.75,60000,62,0.00003035890791663146,0.0004190236748376985,0.5,0.3225806451612903,0.0007460123586413807,0.000739494282990313,-0.00011353774715775917,0.00014389665507439064,14,21,0,B) WEAK
B-STX_USDT,B_BEAR_T1_0.65-0.75,180000,61,-0.00017772756905474495,-0.00042007981516495167,0.4262295081967213,0.5081967213114754,0.001159346837140278,0.0013581136681194324,-0.00017396131136156908,-0.0000037662576931758707,23,36,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.75-0.85,5000,83,-0.00004040044884335756,0,0.12048192771084337,0.1566265060240964,0.000286366514936937,0.00029136368785851336,0.000025039275973239875,-0.00006543972481659743,1,5,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.75-0.85,10000,83,-0.000058016776539828745,0,0.1566265060240964,0.21686746987951808,0.00030665401783488023,0.00033183447971274027,0.000038960121534131405,-0.00009697689807396014,2,8,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.75-0.85,30000,83,-0.00001992573676162914,0,0.27710843373493976,0.3493975903614458,0.00045363400627046485,0.0005089693939103824,0.00009514215722912275,-0.0001150678939907519,11,15,0,B) WEAK
B-STX_USDT,A_BULL_T1_0.75-0.85,60000,82,0.00004138937115836798,0,0.3170731707317073,0.3902439024390244,0.0006664609202642032,0.0006405768775348369,0.00011353774715775917,-0.0000721483759993912,18,22,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.75-0.85,180000,81,0.00037991776299886723,0,0.4567901234567901,0.37037037037037035,0.0014518162202184607,0.0010052287109246045,0.00017396131136156908,0.00020595645163729815,36,37,0,B) WEAK
B-STX_USDT,A_BULL_T1_0.65-0.75,5000,47,0.0000761669769131566,0,0.2553191489361702,0.10638297872340426,0.0003311426680624826,0.0002683441505524812,0.000025039275973239875,0.000051127700939916725,1,1,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.65-0.75,10000,47,0.00005387672565417178,0,0.3191489361702128,0.2553191489361702,0.00040263111409785115,0.00032189671599277273,0.000038960121534131405,0.000014916604120040374,3,2,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.65-0.75,30000,47,0.00010736084295323891,0,0.3829787234042553,0.2765957446808511,0.0006081433451485669,0.000509656847407922,0.00009514215722912275,0.000012218685724116159,10,4,0,C) NO OBSERVED EDGE
B-STX_USDT,A_BULL_T1_0.65-0.75,60000,46,-0.000013624273034596063,0,0.30434782608695654,0.3695652173913043,0.0007691722650611147,0.0006883976148702499,0.00011353774715775917,-0.00012716202019235525,15,10,0,B) WEAK
B-STX_USDT,A_BULL_T1_0.65-0.75,180000,45,-0.00023647678852502864,-0.0004193751310546823,0.3333333333333333,0.5555555555555556,0.001225964540599822,0.00118881218486352,0.00017396131136156908,-0.00041043809988659775,24,22,0,B) WEAK
B-TIA_USDT,A_BULL_T1_0.65-0.75,5000,66,-0.00002734766732480392,0,0.18181818181818182,0.18181818181818182,0.0001885202946501839,0.00022506201700497712,0.000020118075413262006,-0.00004746574273806592,0,3,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.65-0.75,10000,66,-0.00002266447922703825,0,0.2727272727272727,0.24242424242424243,0.0002483361907285078,0.0002709731200045033,0.000012216844508974964,-0.00003488132373601321,1,5,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.65-0.75,30000,66,0.00004400005063655636,0,0.4090909090909091,0.3484848484848485,0.0005058028775627665,0.00045934461570608083,0.0000688772430582712,-0.000024877192421714832,10,10,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.65-0.75,60000,64,0.00003866107305213467,0,0.453125,0.4375,0.0007817354072629743,0.0006661709936341881,0.00012003569071971624,-0.00008137461766758158,20,22,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.65-0.75,180000,61,-0.00009115745633148637,0.0003027092477674859,0.5245901639344263,0.36065573770491804,0.001418064911827329,0.0012077808874308203,0.00034374153702016895,-0.00043489899335165535,34,27,0,B) WEAK
B-TIA_USDT,C_BUY_SURGE,5000,23,5.441558192604141e-7,0,0.21739130434782608,0.30434782608695654,0.0002971241393250484,0.00024383756176240312,0.000020118075413262006,-0.00001957391959400159,2,0,0,C) NO OBSERVED EDGE
