symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance1,imbalance5
B-TIA_USDT,1789559272472,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,5354,5725,174337,67271,0.4832566116075458,0.721569650011589
B-TIA_USDT,1789559274760,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,5709,5677,174699,66330,0.5014052344985069,0.7248048989955566
B-TIA_USDT,1789559276951,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,1065,956,134091,69621,0.5269668480950025,0.6582381008482564
B-TIA_USDT,1789559279146,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,674,692,140036,63616,0.493411420204978,0.6876239860153596
B-TIA_USDT,1789559281334,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,819,711,133015,63635,0.5352941176470588,0.6764047800661073
B-TIA_USDT,1789559283535,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,2857,6459,163440,66885,0.3066766852726492,0.7096059915337024
B-TIA_USDT,1789559285743,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,9846,336,176002,62221,0.9670005892751915,0.7388119535057488
B-TIA_USDT,1789559288026,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,5817,588,176162,62473,0.9081967213114754,0.7382068849917237
B-TIA_USDT,1789559290229,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,7921,208,176194,62093,0.9744125968753844,0.7394192717185579
B-TIA_USDT,1789559292431,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,16562,208,182647,60167,0.9875968992248062,0.7522095101600402
B-TIA_USDT,1789559294627,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,1680,2958,139743,61641,0.36222509702457956,0.6939131212012871
B-TIA_USDT,1789559296811,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,710,4264,135592,62965,0.14274225975070365,0.6828870299208791
B-TIA_USDT,1789559298991,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,590,4394,135121,63095,0.11837881219903691,0.6816856358719781
B-TIA_USDT,1789559301201,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,234,4855,134765,63429,0.04598152878758106,0.6799650847149762
B-TIA_USDT,1789559303414,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,3434,4014,152092,58642,0.4610633727175081,0.7217250182694772
